sample_id	taxon_rank	taxon_name	taxid_if_available	mean_relative_abundance_classified_only	sd_relative_abundance_classified_only	replicates_detected	mean_direct_reads_if_available	mean_clade_reads	notes
S_21_12_20	phylum	Crenarchaeota	28889	0.00024450349704343796	0.0	3	0.0	38.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Thermoplasmatota	2283796	0.00019946337916701518	0.0	3	2.0	31.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Balneolaeota	1936987	0.0001608575638443671	0.0	3	0.0	25.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Armatimonadetes	67819	0.0001544232612905924	0.0	3	0.0	24.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Lokiarchaeota	1655434	0.0001544232612905924	0.0	3	0.0	24.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Peploviricota	2731361	0.00012868605107549367	0.0	3	0.0	20.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Saccharibacteria	95818	0.0001158174459679443	0.0	3	8.0	18.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Cloacimonetes	456828	0.00010294884086039493	0.0	3	0.0	16.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Bipolaricaulota	67810	9.008023575284557e-05	0.0	3	0.0	14.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Omnitrophica	67812	9.008023575284557e-05	0.0	3	0.0	14.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Atribacterota	67818	7.72116306452962e-05	0.0	3	0.0	12.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Elusimicrobia	74152	7.72116306452962e-05	0.0	3	0.0	12.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Fibrobacteres	65842	7.077732809152152e-05	0.0	3	0.0	11.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Dictyoglomi	68297	6.434302553774683e-05	0.0	3	0.0	10.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Caldiserica	67814	4.5040117876422784e-05	0.0	3	0.0	7.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Micrarchaeota	1801631	1.930290766132405e-05	0.0	3	1.0	3.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Nanohaloarchaeota	1462430	1.930290766132405e-05	0.0	3	0.0	3.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Coprothermobacterota	2138240	1.930290766132405e-05	0.0	3	0.0	3.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Candidatus Absconditabacteria	221235	1.2868605107549367e-05	0.0	3	0.0	2.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Duplornaviricota	2732405	1.2868605107549367e-05	0.0	3	0.0	2.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Pisuviricota	2732408	1.2868605107549367e-05	0.0	3	0.0	2.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Preplasmiviricota	2732008	6.4343025537746834e-06	0.0	3	0.0	1.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Proteobacteria	1224	0.6070094656959931	0.0006487123013286942	3	4115.333333333333	90411.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Actinobacteria	201174	0.08788020330255181	0.0002550531888370119	3	99.0	13089.333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Bacteroidetes	976	0.058990578166777635	0.0003848098231286793	3	275.6666666666667	8786.333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Planctomycetes	203682	0.041420061657220404	0.00025317128348078594	3	22.333333333333332	6169.333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Firmicutes	1239	0.03908610645449292	0.0001538455322776758	3	113.33333333333333	5821.666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Chordata	7711	0.03618329962901728	0.00020251439765686633	3	0.0	5389.333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Cyanobacteria	1117	0.026983005619225123	0.00019244429150217323	3	132.66666666666666	4019.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Chloroflexi	200795	0.006948898376371232	0.00019924308240324557	3	10.666666666666666	1035.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Acidobacteria	57723	0.005471890752163966	0.00015209750505578275	3	4.0	815.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Euryarchaeota	28890	0.005064435417423075	0.0001783200569695011	3	2.0	754.3333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Verrucomicrobia	74201	0.0035045923761749275	0.00010264540357322446	3	4.333333333333333	522.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Deinococcus-Thermus	1297	0.003218201273519986	3.325775903244803e-05	3	0.0	479.3333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Spirochaetes	203691	0.002933973752371056	2.7500855028219038e-05	3	0.0	437.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Chlorobi	1090	0.0015666270752313861	0.00011027297587914837	3	0.0	233.33333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Uroviricota	2731618	0.0013428303435100875	9.515987587279106e-05	3	0.0	200.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Kiritimatiellaeota	134625	0.0011592576635781188	7.030893705034883e-05	3	0.0	172.66666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Gemmatimonadetes	142182	0.0010518542674151146	6.230504635936206e-05	3	0.0	156.66666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Nitrospirae	40117	0.001042905481357604	2.7966654565674913e-05	3	0.0	155.33333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Ignavibacteriae	1134404	0.000794438220976937	6.55688550141684e-05	3	0.0	118.33333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Tenericutes	544448	0.0007698543362704593	9.68264110452131e-06	3	1.0	114.66666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Fusobacteria	32066	0.000763127946493484	4.813641481140509e-05	3	0.0	113.66666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Thermotogae	200918	0.0006512713767540286	4.143094416077829e-05	3	0.0	97.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Nucleocytoviricota	2732007	0.0006310628626807679	8.762888388112229e-05	3	0.0	94.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Calditrichaeota	1930617	0.0005930714693295978	2.400812814470947e-05	3	0.0	88.33333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Thermodesulfobacteria	200940	0.0005594553316130754	6.850549765785532e-05	3	0.0	83.33333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Deferribacteres	200930	0.0005393536202296765	1.423574506676585e-05	3	0.0	80.33333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Synergistetes	508458	0.00045430439733820964	3.4854496464921524e-06	3	0.0	67.66666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Thaumarchaeota	651137	0.00035583741393571114	3.738289411182717e-05	3	1.3333333333333333	53.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Chlamydiae	204428	0.0003379478469665087	4.4884512905947456e-05	3	0.0	50.333333333333336	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Chrysiogenetes	200938	0.0003245124044361639	1.9568414661561533e-05	3	0.0	48.333333333333336	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Crenarchaeota	28889	0.00030660385958953493	1.5588786360304675e-05	3	0.0	45.666666666666664	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Aquificae	200783	0.0002640824302898008	2.5454643902222913e-05	3	0.0	39.333333333333336	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Candidatus Thermoplasmatota	2283796	0.0002461821411686985	1.564667059845117e-05	3	1.0	36.666666666666664	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Armatimonadetes	67819	0.00019247101164776765	1.5614475139121505e-05	3	0.0	28.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
